Region,Area,Depth,Transect,Family,Species,Length,Number,a,b,lev,diet
E,JH,5,T3,Pomacentridae,Neopomacentrus_cyanomos,10,1,0.01514,2.99,BP,O
E,JH,5,T4,Chaetodontidae,Chaetodon_kleinii,15,2,0.0309,3.04,BP,O
E,JH,5,T4,Pomacentridae,Pomacentrus_philippinus,15,11,0.01778,2.97,BP,O
E,JH,5,T4,Labridae,Thalassoma_cf_hardwicke,15,2,0.01,3.04,BP,MI
E,JH,5,T4,Microdesmidae,Ptereleotris_evides,10,4,0.00389,3.12,BP,PL
E,JH,5,T4,Labridae,Labridae_sp,15,5,,,,
E,JH,5,T4,Pomacentridae,Chromis_margaritifer,10,1,0.0182,3,BP,PL
E,JH,5,T4,Chaetodontidae,Chaetodon_auripes,20,1,0.02291,3.01,BP,MI
E,JH,5,T4,,unknown,10,1,,,,
E,JH,5,T5,Pomacentridae,Pomacentrus_lepidogenys,10,1,0.0263,3.04,BP,PL
E,JH,5,T5,Labridae,Bodianus_axillaris,10,1,0.01202,3.05,BP,MI
E,JH,5,T5,Microdesmidae,Ptereleotris_evides,15,1,0.00389,3.12,BP,PL
E,JH,5,T5,Pomacentridae,Chromis_margaritifer,10,5,0.0182,3,BP,PL
E,JH,5,T5,Pomacentridae,Pomacentrus_philippinus,15,1,0.01778,2.97,BP,O
E,JH,5,T5,,unknown,15,4,,,,
E,JH,5,T5,Acanthuridae,Acanthurus_cf_nigrofuscus,20,1,0.02512,2.96,BP,HD
E,JH,5,T5,,unknown,10,3,,,,
E,JH,5,T5,Labridae,Thalassoma_cf_hardwicke,25,1,0.01,3.04,BP,MI
E,JH,5,T5,Labridae,Thalassoma_cf_hardwicke,12,1,0.01,3.04,BP,MI
E,JH,5,T5,Labridae,Labridae_sp,15,1,,,,
E,JH,5,T5,Chaetodontidae,Chaetodon_cf_auriga,20,1,0.02512,2.99,BP,O
E,XY,5,T1,Labridae,Cheilinus_chlorourus,20,1,0.0182,2.95,BP,MI
E,XY,5,T1,Pomacentridae,Pomacentrus_philippinus,15,6,0.01778,2.97,BP,O
E,XY,5,T1,Microdesmidae,Ptereleotris_evides,10,1,0.00389,3.12,BP,PL
E,XY,5,T1,Pomacentridae,Pomacentrus_bankanensis,10,2,0.01514,2.99,BP,HD
E,XY,5,T1,Acanthuridae,Acanthurus_cf_nigrofuscus,15,1,0.02512,2.96,BP,HD
E,XY,5,T1,Pomacentridae,Pomacentridae_sp,10,2,,,,
E,XY,5,T1,Microdesmidae,Ptereleotris_evides,10,1,0.00389,3.12,BP,PL
E,XY,5,T1,Pomacentridae,Pomacentridae_sp,10,1,,,,
E,XY,5,T1,Labridae,Halichoeres_hortulanus,15,1,0.00977,3.08,BP,MI
E,XY,5,T1,Labridae,Thalassoma_cf_jansenii,15,1,0.977,3.04,BP,MI
E,XY,5,T1,,unknown,10,2,,,,
E,XY,5,T2,Serranidae,Epinephelus_coeruleopunctatus,20,1,0.01122,3,BP,MI
E,XY,5,T2,Chaetodontidae,Chaetodon_auripes,20,1,0.02291,3.01,BP,MI
E,XY,5,T2,Pomacentridae,Pomacentrus_bankanensis,10,1,0.01514,2.99,BP,HD
E,XY,5,T2,Pomacentridae,Pomacentrus_philippinus,15,1,0.01778,2.97,BP,O
E,XY,5,T3,Pomacentridae,Pomacentrus_philippinus,15,2,0.01778,2.97,BP,O
E,XY,5,T3,Labridae,Halichoeres_hortulanus,10,1,0.00977,3.08,BP,MI
E,XY,5,T4,Labridae,Halichoeres_cf_margaritaceus,10,1,0.01,3.08,BP,MI
E,XY,5,T4,Labridae,Halichoeres_hartzfeldii,15,1,0.01,3.08,BP,MI
E,XY,5,T5,Mullidae,Parupeneus_indicus,20,1,0.01202,3.09,BP,MI
E,XY,5,T5,Chaetodontidae,Chaetodon_cf_vagabundus,20,2,0.01995,2.99,BP,O
E,XY,5,T5,Pomacentridae,Pomacentrus_philippinus,15,3,0.01778,2.97,BP,O
E,XY,5,T5,Labridae,Hipposcarus_cf_longiceps,15,1,0.0123,3.03,BP,HD
E,XY,5,T5,Labridae,Coris_cf_gaimard,20,1,0.01,3.06,BP,MI
E,XY,5,T5,Acanthuridae,Acanthurus_cf_nigrofuscus,20,1,0.02512,2.96,BP,HD
E,XY,5,T5,Acanthuridae,Acanthurus_thompsoni,25,3,0.02512,2.96,BP,PL
E,XY,5,T5,Labridae,Calotomus_carolinus,15,1,0.0123,3.13,BP,HD
E,XY,10,T1,Labridae,Thalassoma_lutescens,20,3,0.01023,3.05,BP,MI
E,XY,10,T1,Chaetodontidae,Chaetodon_lineolatus,10,1,0.02291,2.95,BP,SI
E,XY,10,T1,Lutjanidae,Lutjanus_sp,15,1,,,,
E,XY,10,T1,Labridae,Scarus_cf_frenatus,20,1,0.02089,3.09,BP,HD
E,XY,10,T2,Acanthuridae,Acanthurus_xanthopterus,20,2,0.01445,3,BP,HD
E,XY,10,T2,Acanthuridae,Acanthurus_xanthopterus,15,1,0.01445,3,BP,HD
E,XY,10,T2,Pomacanthidae,Centropyge_bicolor,15,1,0.03236,2.88,BP,O
E,XY,10,T2,Labridae,Halichoeres_hortulanus,20,1,0.00977,3.08,BP,MI
E,XY,10,T2,Labridae,Calotomus_carolinus,20,1,0.0123,3.13,BP,HD
E,XY,10,T2,Labridae,Labridae_sp,20,1,,,,
E,XY,10,T3,Labridae,Thalassoma_cf_amblycephalum,10,1,0.977,3.04,BP,PL
E,XY,10,T3,Labridae,Labridae_sp,20,2,,,,
E,XY,10,T3,Labridae,Halichoeres_hortulanus,20,1,0.00977,3.08,BP,MI
E,XY,10,T3,Labridae,Coris_cf_aygula,20,1,0.00832,3.12,BP,MI
E,XY,10,T3,Pomacentridae,Pomacentrus_philippinus,15,3,0.01778,2.97,BP,O
E,XY,10,T4,Pomacentridae,Chromis_margaritifer,10,3,0.0182,3,BP,PL
E,XY,10,T4,Pomacentridae,Pomacentrus_philippinus,15,3,0.01778,2.97,BP,O
E,XY,10,T4,Pomacentridae,Chrysiptera_rex,10,1,0.01514,2.99,BP,HD
E,XY,10,T4,Labridae,Halichoeres_hortulanus,20,1,0.00977,3.08,BP,MI
E,XY,10,T4,Acanthuridae,Acanthurus_cf_nigrofuscus,20,1,0.02512,2.96,BP,HD
E,XY,10,T4,Labridae,Halichoeres_hortulanus,20,1,0.00977,3.08,BP,MI
E,XY,10,T5,,unknown,20,2,,,,
E,XY,10,T5,Balistidae,Sufflamen_bursa,25,3,0.0257,2.94,BP,O
E,XY,10,T5,Pomacentridae,Pomacentrus_philippinus,15,5,0.01778,2.97,BP,O
E,XY,10,T5,Labridae,Calotomus_carolinus,20,1,0.0123,3.13,BP,HD
E,XY,10,T5,Labridae,Labridae_sp,15,2,,,,
E,XY,10,T5,Labridae,Halichoeres_hortulanus,20,2,0.00977,3.08,BP,MI
E,XY,10,T5,Pomacentridae,Chromis_margaritifer,10,2,0.0182,3,BP,PL
E,XY,10,T5,Labridae,Coris_cf_dorsomacula,20,1,0.01,3.06,BP,MI
E,XY,10,T5,Pomacentridae,Pomacentridae_sp,15,2,,,,
E,XY,10,T5,Pomacentridae,Pomacentridae_sp,10,7,,,,
E,XY,10,T5,Acanthuridae,Acanthurus_xanthopterus,20,2,0.01445,3,BP,HD
E,XY,10,T5,Pomacanthidae,Pomacanthus_semicirculatus,25,2,0.0389,2.88,BP,O
E,XY,10,T5,Pomacanthidae,Centropyge_vrolikii,15,2,0.03236,2.88,BP,HD
E,XY,10,T5,Acanthuridae,Acanthurus_cf_nigrofuscus,20,1,0.02512,2.96,BP,HD
E,ST,5,T1,Pomacentridae,Pomacentrus_philippinus,15,14,0.01778,2.97,BP,O
E,ST,5,T1,Serranidae,Cephalopholis_urodeta,15,2,0.01202,3.04,BP,PI
E,ST,5,T1,Labridae,Scarus_cf_forsteni,5,1,0.01622,3.02,BP,HD
E,ST,5,T1,Labridae,Labridae_sp,10,1,,,,
E,ST,5,T1,Labridae,Labridae_sp,15,1,,,,
E,ST,5,T1,Pomacentridae,Chromis_margaritifer,10,4,0.0182,3,BP,PL
E,ST,5,T1,Pomacentridae,Pomacentridae_sp,10,1,,,,
E,ST,5,T1,,unknown,15,1,,,,
E,ST,5,T1,Zanclidae,Zanclus_cornutus,15,1,0.01698,3.06,BP,MI
E,ST,5,T2,Pomacentridae,Pomacentrus_philippinus,15,5,0.01778,2.97,BP,O
E,ST,5,T2,,unknown,5,2,,,,
E,ST,5,T2,Labridae,Thalassoma_lutescens,10,1,0.01023,3.05,BP,MI
E,ST,5,T2,Pomacentridae,Pomacentrus_philippinus,10,3,0.01778,2.97,BP,O
E,ST,5,T2,Pomacentridae,Neoglyphidodon_melas,15,5,0.02239,2.99,BP,SI
E,ST,5,T2,Labridae,Labridae_sp,10,1,,,,
E,ST,5,T2,Labridae,Labridae_sp,15,1,,,,
E,ST,5,T2,Pomacentridae,Chromis_lepidolepis,10,1,0.02344,3.03,BP,PL
E,ST,5,T2,Chaetodontidae,Chaetodon_argentatus,10,1,0.02291,3.01,BP,SI
E,ST,5,T3,Pomacentridae,Pomacentrus_philippinus,15,57,0.01778,2.97,BP,O
E,ST,5,T3,Labridae,Labridae_sp,10,4,,,,
E,ST,5,T3,Labridae,Bodianus_axillaris,15,3,0.01202,3.05,BP,MI
E,ST,5,T3,Labridae,Labroides_dimidiatus,10,3,0.00447,3.14,BP,MI
E,ST,5,T3,Labridae,Thalassoma_lutescens,10,4,0.01023,3.05,BP,MI
E,ST,5,T3,Labridae,Thalassoma_lutescens,15,1,0.01023,3.05,BP,MI
E,ST,5,T3,Labridae,Gomphosus_varius,10,1,0.00676,2.96,BP,MI
E,ST,5,T3,Pomacentridae,Chromis_margaritifer,10,7,0.0182,3,BP,PL
E,ST,5,T3,Labridae,Halichoeres_cf_nebulosus,15,1,0.01,3.08,BP,MI
E,ST,5,T3,Labridae,Labridae_sp,15,2,,,,
E,ST,5,T3,Labridae,Anampses_cf_melanurus,10,1,0.01,3.06,BP,MI
E,ST,5,T4,Pomacentridae,Pomacentrus_philippinus,15,42,0.01778,2.97,BP,O
E,ST,5,T4,Pomacentridae,Neoglyphidodon_melas,20,1,0.02239,2.99,BP,SI
E,ST,5,T4,Microdesmidae,Ptereleotris_evides,15,3,0.00389,3.12,BP,PL
E,ST,5,T4,Serranidae,Cephalopholis_urodeta,25,1,0.01202,3.04,BP,PI
E,ST,5,T4,Pomacentridae,Chromis_margaritifer,10,8,0.0182,3,BP,PL
E,ST,5,T4,Pomacentridae,Pomacentridae_sp,10,1,,,,
E,ST,5,T4,Labridae,Labridae_sp,20,2,,,,
E,ST,5,T4,Labridae,Labridae_sp,15,1,,,,
E,ST,5,T4,Labridae,Labridae_sp,10,1,,,,
E,ST,5,T4,Pomacentridae,Chromis_lepidolepis,10,3,0.02344,3.03,BP,PL
E,ST,5,T4,Labridae,Thalassoma_lutescens,10,1,0.01023,3.05,BP,MI
E,ST,5,T4,Labridae,Thalassoma_lutescens,15,3,0.01023,3.05,BP,MI
E,ST,5,T4,Acanthuridae,Naso_lituratus,35,1,0.02512,2.97,BP,MH
E,ST,5,T4,Chaetodontidae,Chaetodon_cf_auriga,10,1,0.02512,2.99,BP,O
E,ST,5,T4,Labridae,Anampses_cf_melanurus,5,1,0.01,3.06,BP,MI
E,ST,5,T4,Pomacanthidae,Centropyge_vrolikii,15,1,0.03236,2.88,BP,HD
E,ST,5,T5,Pomacentridae,Pomacentrus_philippinus,15,37,0.01778,2.97,BP,O
E,ST,5,T5,Microdesmidae,Ptereleotris_evides,15,2,0.00389,3.12,BP,PL
E,ST,5,T5,Pomacentridae,Neoglyphidodon_melas,20,1,0.02239,2.99,BP,SI
E,ST,5,T5,Labridae,Labridae_sp,15,1,,,,
E,ST,5,T5,Acanthuridae,Acanthurus_cf_nigrofuscus,15,1,0.02512,2.96,BP,HD
E,ST,5,T5,Labridae,Labridae_sp,5,3,,,,
E,ST,10,T1,Pomacentridae,Pomacentrus_philippinus,15,5,0.01778,2.97,BP,O
E,ST,10,T1,Pomacentridae,Chromis_margaritifer,10,3,0.0182,3,BP,PL
E,ST,10,T1,Pomacentridae,Pomacentrus_lepidogenys,10,6,0.0263,3.04,BP,PL
E,ST,10,T1,Pomacentridae,Neoglyphidodon_melas,15,5,0.02239,2.99,BP,SI
E,ST,10,T1,Pomacentridae,Neoglyphidodon_nigroris,15,7,0.01862,3,BP,O
E,ST,10,T1,Pomacentridae,Pomacentrus_bankanensis,10,2,0.01514,2.99,BP,HD
E,ST,10,T1,Chaetodontidae,Chaetodon_unimaculatus,10,1,0.02818,3,BP,SI
E,ST,10,T1,Chaetodontidae,Chaetodon_ornatissimus,10,1,0.02291,3.01,BP,SI
E,ST,10,T1,Microdesmidae,Ptereleotris_evides,15,1,0.00389,3.12,BP,PL
E,ST,10,T1,Labridae,Labroides_sp,10,1,,,,
E,ST,10,T1,Mullidae,Parupeneus_pleurostigma,15,1,0.01202,3.09,BP,MI
E,ST,10,T1,Labridae,Labridae_sp,10,1,,,,
E,ST,10,T1,Pomacentridae,Pomacentridae_sp,5,3,,,,
E,ST,10,T1,Pomacentridae,Chromis_xanthura,15,1,0.0166,2.95,BP,PL
E,ST,10,T1,Labridae,Thalassoma_lutescens,20,5,0.01023,3.05,BP,MI
E,ST,10,T1,Labridae,Thalassoma_lutescens,15,1,0.01023,3.05,BP,MI
E,ST,10,T1,Labridae,Labridae_sp,15,2,,,,
E,ST,10,T1,,unknown,15,1,,,,
E,ST,10,T2,Pomacentridae,Pomacentrus_philippinus,15,38,0.01778,2.97,BP,O
E,ST,10,T2,Pomacanthidae,Neoglyphidodon_nigroris,15,8,0.01862,3,BP,O
E,ST,10,T2,Acanthuridae,Acanthurus_dussumieri,25,1,0.0302,2.94,BP,HD
E,ST,10,T2,Chaetodontidae,Chaetodon_punctatofasciatus,10,2,0.02291,3.01,BP,O
E,ST,10,T2,Pomacanthidae,Centropyge_vrolikii,10,1,0.03236,2.88,BP,HD
E,ST,10,T2,Labridae,Bodianus_axillaris,18,1,0.01202,3.05,BP,MI
E,ST,10,T2,Pomacentridae,Chromis_margaritifer,10,2,0.0182,3,BP,PL
E,ST,10,T2,Acanthuridae,Acanthurus_cf_nigrofuscus,10,2,0.02512,2.96,BP,HD
E,ST,10,T2,Labridae,Scarus_cf_forsteni,10,1,0.01622,3.02,BP,HD
E,ST,10,T2,,unknown,10,1,,,,
E,ST,10,T2,,unknown,20,1,,,,
E,ST,10,T2,Pomacentridae,Neoglyphidodon_melas,20,1,0.02239,2.99,BP,SI
E,ST,10,T2,Pomacentridae,Abudefduf_sexfasciatus,15,1,0.02344,3.05,BP,O
E,ST,10,T3,Acanthuridae,Acanthurus_cf_nigrofuscus,10,1,0.02512,2.96,BP,HD
E,ST,10,T3,Acanthuridae,Ctenochaetus_cf_binotatus,20,3,0.03388,2.93,BP,HD
E,ST,10,T3,Pomacentridae,Amphiprion_frenatus,15,2,0.02291,2.99,BP,O
E,ST,10,T3,Pomacentridae,Pomacentrus_philippinus,15,55,0.01778,2.97,BP,O
E,ST,10,T3,Pomacentridae,Chromis_margaritifer,10,6,0.0182,3,BP,PL
E,ST,10,T3,Pomacentridae,Chromis_lepidolepis,15,2,0.02344,3.03,BP,PL
E,ST,10,T3,Pomacentridae,Pomacentrus_lepidogenys,15,2,0.0263,3.04,BP,PL
E,ST,10,T3,Pomacentridae,Pomacentridae_sp,10,2,,,,
E,ST,10,T3,Chaetodontidae,Chaetodon_sp,10,1,,,,
E,ST,10,T3,Pomacentridae,Chromis_cf_chrysura,10,1,0.02692,3.06,BP,PL
E,ST,10,T3,Pomacentridae,Neoglyphidodon_nigroris,15,2,0.01862,3,BP,O
E,ST,10,T3,Pomacentridae,Neoglyphidodon_nigroris,20,4,0.01862,3,BP,O
E,ST,10,T3,Labridae,Thalassoma_sp,15,1,,,,
E,ST,10,T3,Serranidae,Cephalopholis_urodeta,20,1,0.01202,3.04,BP,PI
E,ST,10,T3,Mullidae,Parupeneus_indicus,10,2,0.01202,3.09,BP,MI
E,ST,10,T3,Mullidae,Parupeneus_indicus,20,2,0.01202,3.09,BP,MI
E,ST,10,T3,Pomacanthidae,Centropyge_vrolikii,15,1,0.03236,2.88,BP,HD
E,ST,10,T3,Labridae,Thalassoma_lutescens,20,1,0.01023,3.05,BP,MI
E,ST,10,T3,Acanthuridae,Acanthurus_cf_nigrofuscus,15,1,0.02512,2.96,BP,HD
E,ST,10,T3,,unknown,10,1,,,,
E,ST,10,T4,Labridae,Bodianus_axillaris,20,1,0.01202,3.05,BP,MI
E,ST,10,T4,Chaetodontidae,Chaetodon_argentatus,20,1,0.02291,3.01,BP,SI
E,ST,10,T4,Acanthuridae,Acanthurus_cf_nigrofuscus,10,1,0.02512,2.96,BP,HD
E,ST,10,T4,Acanthuridae,Acanthurus_cf_nigrofuscus,15,2,0.02512,2.96,BP,HD
E,ST,10,T4,Acanthuridae,Ctenochaetus_cf_binotatus,20,3,0.03388,2.93,BP,HD
E,ST,10,T4,Pomacentridae,Pomacentrus_philippinus,15,14,0.01778,2.97,BP,O
E,ST,10,T4,Microdesmidae,Ptereleotris_evides,15,4,0.00389,3.12,BP,PL
E,ST,10,T4,Acanthuridae,Acanthurus_japonicus,15,1,0.02344,2.96,BP,HD
E,ST,10,T4,Pomacentridae,Chromis_margaritifer,12,2,0.0182,3,BP,PL
E,ST,10,T4,Pomacentridae,Pomacentrus_bankanensis,10,1,0.01514,2.99,BP,HD
E,ST,10,T4,Pomacentridae,Neoglyphidodon_nigroris,20,1,0.01862,3,BP,O
E,ST,10,T4,Labridae,Labridae_sp,10,1,,,,
E,ST,10,T4,Labridae,Labridae_sp,15,1,,,,
E,ST,10,T4,Ostraciidae,Lactoria_cf_fornasini,20,1,0.03631,2.81,BP,MI
E,ST,10,T4,,unknown,10,2,,,,
E,ST,10,T5,Acanthuridae,Acanthurus_cf_nigrofuscus,20,1,0.02512,2.96,BP,HD
E,ST,10,T5,Pomacentridae,Neoglyphidodon_melas,10,1,0.02239,2.99,BP,SI
E,ST,10,T5,Pomacentridae,Pomacentrus_philippinus,12,15,0.01778,2.97,BP,O
E,ST,10,T5,Acanthuridae,Acanthurus_cf_nigrofuscus,10,3,0.02512,2.96,BP,HD
E,ST,10,T5,Chaetodontidae,Chaetodon_sp,10,1,,,,
E,ST,10,T5,Acanthuridae,Acanthurus_cf_nigrofuscus,20,1,0.02512,2.96,BP,HD
E,ST,10,T5,Pomacentridae,Chromis_margaritifer,10,3,0.0182,3,BP,PL
E,ST,10,T5,Pomacentridae,Stegastes_cf_nigricans,10,1,0.02512,3.02,BP,O
E,ST,10,T5,Pomacentridae,Pomacentridae_sp,10,3,,,,
E,ST,10,T5,Scaridae,Scaridae_sp,25,1,,,,
E,ST,10,T5,Labridae,Labridae_sp,10,1,,,,
E,ST,10,T5,Pomacentridae,Neoglyphidodon_melas,15,4,0.02239,2.99,BP,SI
E,ST,10,T5,Pomacentridae,Chrysiptera_rex,10,1,0.01514,2.99,BP,HD
E,ST,10,T5,Mullidae,Parupeneus_indicus,10,2,0.01202,3.09,BP,MI
E,ST,10,T5,Labridae,Thalassoma_sp,10,1,,,,
E,ST,10,T5,Labridae,Scarus_cf_forsteni,10,3,0.01622,3.02,BP,HD
N,MA,10,T1,Pomacentridae,Pomacentrus_coelestis,10,126,0.01479,2.92,BP,PL
N,MA,10,T1,Pomacanthidae,Centropyge_vrolikii,15,1,0.03236,2.88,BP,HD
N,MA,10,T1,Diodontidae,Diodon_cf_holocanthus,20,4,0.04365,2.87,BP,MI
N,MA,10,T1,Siganidae,Siganus_fuscescens,15,5,0.01413,2.94,BP,MH
N,MA,10,T1,Labridae,Labridae_sp,10,1,,,,
N,MA,10,T1,Acanthuridae,Acanthurus_cf_nigrofuscus,20,1,0.02512,2.96,BP,HD
N,MA,10,T1,Chaetodontidae,Chaetodon_melannotus,10,1,0.02291,3,BP,SI
N,MA,10,T1,Siganidae,Siganus_fuscescens,10,21,0.01413,2.94,BP,MH
N,MA,10,T2,Pomacentridae,Pomacentrus_coelestis,10,57,0.01479,2.92,BP,PL
N,MA,10,T2,Labridae,Iniistius_pavo,15,1,0.01122,3.04,BP,MI
N,MA,10,T2,Acanthuridae,Acanthurus_xanthopterus,20,1,0.01445,3,BP,HD
N,MA,10,T2,Labridae,Pteragogus_enneacanthus,15,1,0.0166,2.95,B,MI
N,MA,10,T3,Pomacentridae,Pomacentrus_coelestis,10,113,0.01479,2.92,BP,PL
N,MA,10,T3,Pomacentridae,Chromis_fumea,10,22,0.01622,3.08,BP,PL
N,MA,10,T3,Diodontidae,Diodon_cf_holocanthus,20,1,0.04365,2.87,BP,MI
N,MA,10,T3,Labridae,Labroides_bicolor,10,1,0.00447,3.14,BP,MI
N,MA,10,T3,Serranidae,Cephalopholis_boenak,25,1,0.01259,3.05,BP,PI
N,MA,10,T3,Chaetodontidae,Chaetodon_auripes,20,1,0.02291,3.01,BP,MI
N,MA,10,T4,Chaetodontidae,Chaetodon_auripes,20,4,0.02291,3.01,BP,MI
N,MA,10,T4,Diodontidae,Diodon_cf_holocanthus,20,1,0.04365,2.87,BP,MI
N,MA,10,T4,Pomacentridae,Pomacentrus_coelestis,10,18,0.01479,2.92,BP,PL
N,MA,10,T5,Pomacentridae,Pomacentrus_coelestis,10,31,0.01479,2.92,BP,PL
N,MA,10,T5,Pomacentridae,Chromis_fumea,10,3,0.01622,3.08,BP,PL
N,MA,10,T5,Labridae,Bodianus_mesothorax,15,1,0.01202,3.05,BP,MI
N,MA,10,T5,Acanthuridae,Acanthurus_cf_nigrofuscus,15,1,0.02512,2.96,BP,HD
N,MA,10,T5,Apogonidae,Archamia_bleekeri,8,27,0.01549,3.07,BP,PL
N,MA,10,T5,Pomacentridae,Chromis_fumea,15,2,0.01622,3.08,BP,PL
N,MA,10,T5,Labridae,Labridae_sp,10,1,,,,
N,MA,10,T5,Labridae,Hemigymnus_melapterus,25,1,0.01202,3.06,BP,MI
N,MA,10,T5,Serranidae,Cephalopholis_boenak,25,1,0.01259,3.05,BP,PI
N,MA,10,T5,Scorpaenidae,Dendrochirus_zebra,25,1,0.00871,3.13,B,MI
N,MA,10,T5,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
O,BH,10,T1,Microdesmidae,Ptereleotris_evides,10,21,0.00389,3.12,BP,PL
O,BH,10,T1,Pomacentridae,Chromis_margaritifer,8,37,0.0182,3,BP,PL
O,BH,10,T1,Balistidae,Sufflamen_bursa,20,1,0.0257,2.94,BP,O
O,BH,10,T1,Mullidae,Parupeneus_multifasciatus,15,2,0.01318,3.11,BP,MI
O,BH,10,T1,Acanthuridae,Acanthurus_cf_nigrofuscus,15,2,0.02512,2.96,BP,HD
O,BH,10,T1,Labridae,Halichoeres_chrysus,8,3,0.01,3.08,BP,MI
O,BH,10,T1,,unknown,5,6,,,,
O,BH,10,T1,Acanthuridae,Naso_lituratus,20,7,0.02512,2.97,BP,MH
O,BH,10,T1,Pomacanthidae,Centropyge_heraldi,8,3,0.03236,2.88,BP,HD
O,BH,10,T1,Pomacanthidae,Genicanthus_watanabei,25,1,0.03311,2.88,BP,PL
O,BH,10,T1,Pomacanthidae,Genicanthus_watanabei,20,1,0.03311,2.88,BP,PL
O,BH,10,T1,Chaetodontidae,Forcipiger_flavissimus,15,4,0.02291,3.02,BP,MI
O,BH,10,T1,Chaetodontidae,Chaetodon_speculum,15,1,0.02512,2.97,BP,SI
O,BH,10,T1,Labridae,Halichoeres_hortulanus,8,1,0.00977,3.08,BP,MI
O,BH,10,T1,Acanthuridae,Acanthurus_cf_nigrofuscus,8,2,0.02512,2.96,BP,HD
O,BH,10,T1,Labridae,Stethojulis_cf_trilineata,10,1,0.01047,3.09,BP,MI
O,BH,10,T1,Labridae,Halichoeres_hortulanus,15,1,0.00977,3.08,BP,MI
O,BH,10,T1,Balistidae,Sufflamen_chrysopterum,20,4,0.02042,2.94,BP,SI
O,BH,10,T1,Monacanthidae,Paraluteres_cf_prionurus,12,1,0.02188,2.92,BP,PL
O,BH,10,T1,Chaetodontidae,Chaetodon_kleinii,15,1,0.0309,3.04,BP,O
O,BH,10,T1,,unknown,25,4,,,,
O,BH,10,T1,Serranidae,Cephalopholis_urodeta,25,1,0.01202,3.04,BP,PI
O,BH,10,T1,Mullidae,Parupeneus_multifasciatus,8,1,0.01318,3.11,BP,MI
O,BH,10,T1,Chaetodontidae,Hemitaurichthys_polylepis,15,8,0.02188,3.01,BP,PL
O,BH,10,T2,Microdesmidae,Ptereleotris_evides,10,17,0.00389,3.12,BP,PL
O,BH,10,T2,Pomacentridae,Chromis_margaritifer,8,10,0.0182,3,BP,PL
O,BH,10,T2,Chaetodontidae,Hemitaurichthys_polylepis,15,1,0.02188,3.01,BP,PL
O,BH,10,T2,Balistidae,Melichthys_cf_vidua,25,1,0.02754,3,BP,O
O,BH,10,T2,Balistidae,Rhinecanthus_cf_rectangulus,15,1,0.0263,2.92,BP,O
O,BH,10,T2,,unknown,25,2,,,,
O,BH,10,T2,,unknown,5,16,,,,
O,BH,10,T2,Labridae,Labridae_sp,10,4,,,,
O,BH,10,T2,Chaetodontidae,Chaetodon_cf_citrinellus,10,2,0.02291,2.95,BP,O
O,BH,10,T2,Acanthuridae,Naso_cf_annulatus,30,2,0.02239,2.9,BP,PL
O,BH,10,T2,Acanthuridae,Acanthurus_cf_nigrofuscus,10,2,0.02512,2.96,BP,HD
O,BH,10,T2,Lethrinidae,Monotaxis_grandoculis,35,1,0.02089,2.94,BP,MI
O,BH,10,T2,Acanthuridae,Naso_sp,25,3,,,,
O,BH,10,T2,,unknown,10,3,,,,
O,BH,10,T2,Labridae,Thalassoma_lutescens,15,1,0.01023,3.05,BP,MI
O,BH,10,T2,Balistidae,Sufflamen_chrysopterum,15,1,0.02042,2.94,BP,SI
O,BH,10,T2,Labridae,Bodianus_axillaris,15,1,0.01202,3.05,BP,MI
O,BH,10,T2,Labridae,Cheilinus_chlorourus,20,1,0.0182,2.95,BP,MI
O,BH,10,T3,Microdesmidae,Ptereleotris_evides,10,10,0.00389,3.12,BP,PL
O,BH,10,T3,Pomacentridae,Chromis_margaritifer,8,36,0.0182,3,BP,PL
O,BH,10,T3,Serranidae,Pseudanthias_squamipinnis,8,28,0.01514,2.92,BP,PL
O,BH,10,T3,Pomacanthidae,Centropyge_vrolikii,15,1,0.03236,2.88,BP,HD
O,BH,10,T3,,unknown,10,3,,,,
O,BH,10,T3,,unknown,5,10,,,,
O,BH,10,T3,Acanthuridae,Ctenochaetus_cf_binotatus,20,3,0.03388,2.93,BP,HD
O,BH,10,T3,Balistidae,Sufflamen_sp,20,2,,,,
O,BH,10,T3,Labridae,Labridae_sp,10,1,,,,
O,BH,10,T3,Acanthuridae,Acanthurus_cf_nigrofuscus,8,4,0.02512,2.96,BP,HD
O,BH,10,T3,Pomacanthidae,Centropyge_heraldi,10,1,0.03236,2.88,BP,HD
O,BH,10,T3,Chaetodontidae,Chaetodon_argentatus,10,1,0.02291,3.01,BP,SI
O,BH,10,T3,Labridae,Thalassoma_lutescens,15,4,0.01023,3.05,BP,MI
O,BH,10,T3,Acanthuridae,Naso_lituratus,15,1,0.02512,2.97,BP,MH
O,BH,10,T3,Pomacentridae,Amphiprion_clarkii,10,2,0.02291,2.99,BP,O
O,BH,10,T3,Labridae,Cheilinus_chlorourus,20,1,0.0182,2.95,BP,MI
O,BH,10,T3,Chaetodontidae,Heniochus_monoceros,20,1,0.01995,3.05,BP,MI
O,BH,10,T3,Chaetodontidae,Hemitaurichthys_polylepis,15,2,0.02188,3.01,BP,PL
O,BH,10,T4,Microdesmidae,Ptereleotris_evides,10,16,0.00389,3.12,BP,PL
